stage-name,dow,bname,gname,gender,dob,dod,role type,picture pointer,notes,award,,,,
Dinah Shore,1943-1977,Shore,Francis (Fanny) Rose,F,1917,1994,R:singer,Am,,,,,,
Dorothy Short,,,,F,[1],199x,RU:,Un,,,,,,
Martin Short,1991,,,M,1950,199x,R:teenagers,Am,,,,,,
Winifred Shotter,1930-1930,Shotter,Winifred,F,1904,199x,R:lead,Br,,,,,,
Robert Show,,,,M,[1],199x,RU:,Un,,,,,,
Max Showalter,1950-1971,Adams,Casey,M,1904,199x,R:reporter, newscaster, good guy friend,Br,,,,
Ricky Shroder,,,,M,[1],199x,RU:,Un,,,,,,
Richard B. Shull,,,,M,[1],199x,RU:,Un,,,,,,
Elizabeth Shue,1991-1996,Shue,Elizabeth,F,dob,199x,RU:,Am,,,,,,
Mort Shuman,,,,M,[1],199x,RU:,Un,,,,,,
Sabrina Siami,1983,,,F,[1],199x,RU:,Un,,,,,,
Basil Sidney,1936-1957,,,M,[1],199x,R:older man,,,,,,,
George Sidney,1923-1937,Greenfield,Sammy,M,1878,1960,R:comedian,Am,,,,,,
Sylvia Sidney,1929-1982,Kosow,Sophia,F,1910,199x,R:fragile, dark-eyed,Am,,,,,
Gregory Sierra,1972-1979,Sierra,Gregory,M,,,R:supporting,Am,,,,,,
Simone Signoret,1942-1979,Kaminker,Simone,F,1921,1985,R:lead,Fr,,,,,,
Cynthia Sikes,1983,,,F,[1],199x,RU:,Un,,,,,,
James B. Sikking,1980-1990,Sikking,James B.,M,[1],199x,RU:,Un,,,,,,
Milton Sills,1915-1930,Silvs,Milton,M,1882,1930,R:stalwart,Am,,,,,,
Henry Silva,1952-1982,Silva,Henry,M,1928,199x,R:pale-eyed villain,It,,,,,,
Trididad Silva,1984,,,,[1],199x,RU:,Un,,,,,,
Silvain,1928,,,M,[1],199x,RU:,Fr,,,,,,
Cyndi Silver,1984,,,F,[1],199x,R:beachbunny,,,,,,,
Joan Micklin Silver,,Silver,Joan Micklin,F,1935,199x,RU:,Am,,,,,,
Joe Silver,1977,,,M,[1],199x,RU:,Un,,,,,,
Ron Silver,1982-1990,Silver,Ron,M,1946],199x,RU:,Un,,,,,,
Frank Silvera,1952-1971,Silvera,Frank,M,1914,1970,R:general purpose,Am,,,,,,
Jay Silverheels,1947-1973,Silverheels,Jay,M,1919,1980,R:westerns,Ca,,,,,,
Phil Silvers,1941-1980,Silver,Philip,M,1912,1985,R:comedian,Am,,,,,,
Alistair Sim,1935-1976,Sim,Alistair,M,1900,1976,R:lugubrious,Br; Scots,,,,,,
Gerald Sim,1947-1976,Sim,Gerald,M,1925,199x,R:well bred, prissy,Br,,,,,
Sheila Sim,1944-1955,Sim,Sheila,F,1922,199x,R:lead,Br,,,,,,
Vasek Simek,1992,Simek,Vasek,M,1928,1994,R:official,Cz,,,,,,
Arlene Simmons,,,,F,[1],199x,RU:,Un,,,,,,
Jean Simmons,1943-1984,Simmons,Jean,F,1929,199x,R:self-possessed,Br,,,,,,
Michel Simon,1925-1971,Simon,Francois,M,1895,1975,R:character,Fr,,,,,,
Paul Simon,1980-1980,Simon,Paul,M,1942,199x,R:singer,Am,,,,,,
Simone Simon,1931-1956,Simon,Simone,F,1910,199x,R:pert,Fr,,,,,,
Ivan Simpson,1974-1980,Simpson,Ivan,M,1875,1951,R:character,Br; Scots,,,,,,
O.J. Simpson,1974-1980,Simpson,O.J.,M,1947,199x,R:boxer,Am,,,,,,
Peggy Simpson,1938,,,F,[1],199x,RU:,Un,,,,,,
Russel Simpson,1931-1959,Simpson,Russel,M,1878,1959,R:character,Am,,,,,,
Joan Sims,1953-1975,Sims,Joan,M,1930,199x,R:comic cameos,Br,,,,,,
Frank Sinatra,1941-1980,Sinatra,Francis Albert,M,1915,1998,R:singer,Am,,,,,,
Nancy Sinatra,1964-1968,Sinatra,Nancy,F,1940,199x,R:singer,Am,,,,,,
Gordon John Sinclair,1982,,,M,[1],199x,RU:,Un,,,,,,
Hugh Sinclair,1933-1952,Sinclair,Hugh,M,1903,1962,R:genial crook,Br|,,,,,,
Donald Sinden,1953-1980,Sinden,Donald,M,1923,199x,R:lead,Br,,,,,,
Campbell Singer,1937-1963,Singer,Campbell,M,1909,1976,R:heavy father,Br,,,,,,
Lori Singer,1984,,,F,[1],199x,RU:,Un,,,,,,
Marc Singer,1978-1982,,,M,[1],199x,RU:,Un,,,,,,
Steve Singer,1981,,,M,[1],199x,RU:,Un,,,,,,
Penny Singleton,1930-1964,McNulty,Mariana,F,,199x,R:lead,Am,,,,,,
Joseph Sirola,,,,M,[1],199x,RU:,Un,,,,,,
Lilia Skala,1964-1983,Skala,Lilia,F,,,RU:,Ge,,,,,,
Hal Skelly,1929-1931,Skelly,Hal,M,1891,1934,R:character,Am,,,,,,
Red Skelton,1938-1965,Skelton,Richard,M,1910,1997,R:comedian,Am,,,,,,
Tom Skerritt,1962-1983,Skerritt,Tom,M,1933,199x,RU:,Am,,,,,,
Cornelia Otis Skinner,1944-1967,Skinner,Cornelia,F,1901,1979,RU:,Am,,,,,,
Otis Skinner,1920-1944,Skinner,Otis,M,1858,1942,RU:,Am,,,,,,
Alison Skipworth,1930-1938,Groom,Alison,F,1875,1952,R:chubby,Br,,,,,,
Helgi Skulason,1990,Skulason,Helgi,M,[1],199x,R:lead,Ic,,,,,,
Olga Slade,1928,,,F,[1],199x,RU:,Un,,,,,,
Richard B. Skull,,,,M,[1],199x,RU:,Un,,,,,,
Jeremy Slate,1963-1968,Slate,Jeremy,M,1925,199x,R:general purpose,Am,,,,,,
Christian Slater,,,,M,1969,199x,R:rough hero,Un,,,,,,
Helen Slater,1984,,,F,[1],199x,R:supergirl,,,,,,,
John Slater,1940-1963,Slater,John,M,1916,1975,R:character,Br,,,,,,
Richard X. Slattery,,,,M,[1],199x,RU:,Un,,,,,,
Tod Slaughter,1935-1952,Slaughter,N.Carter,M,1885,1956,R:barnstorming,Br,,,,,,
Walter Slezak,1942-1971,Slezak,Walter,M,1902,1983,R:character,Os,,,,,,
Hana Slikova,1964,,,F,[1],199x,R:shrew,,,,,,,
Everett Sloane,1941-1964,Sloane,Everett,M,1909,1965,R:incisive,Am,,,,,,
Olive Sloane,1933-1950,Sloane,Olive,F,1896,1963,R:character,Br,,,,,,
Marya Small,,,,F,[1],199x,RU:,Un,,,,,,
Alexis Smith,1941-1978,Smith,Gladys,F,1921,1993,R:lead,Am,,,,,,
Art Smith,1944-1951,Smith,Art,M,1899,1973,R:bland, avuncular,Am,,,,,
Brooke Smith,1994,Smith,Brooke,F,1968,199x,R:sr,Ct,,,,,,
Bubba Smith,1983,,,,[1],199x,RU:,Un,,,,,,
C.Aubrey Smith,1916-1949,Smith,Sir C. Aubrey,M,1863,1948,R:crusty, tall,Br,,,,,
Charles Smith,1940-1953,Smith,Charles,M,1920,199x,R:character,Am,,,,,,
Charles Martin Smith,1978-1983,,,M,[1],199x,RU:,Un,,,,,,
Constance Smith,1947-1955,Smith,Constance,F,1929,199x,R:lead,Br,,,,,,
Cyril Smith,1933-1956,Smith,Cyril,M,1892,1963,R:henpecked husband, grocer,Br,,,,,
Jaclyn Smith,1978-1982,,,F,[1],199x,R:California blonde,Am,,,,,,
John Smith,1954-1966,Van Orden,Robert,M,1931,199x,R:lead,Am,,,,,,
Kate Smith,1943,,,F,[1],199x,RU:,Un,,,,,,
Kent Smith,1942-1973,Smith,Kent,M,1907,1985,R:smooth, quiet,Am,,,,,
Lane Smith,1978,,,F,[1],199x,RU:,Un,,,,,,
Lois Smith,1970-1980,Smith,Lois,F,1930,199x,R:character,Am,,,,,,
Maggie Smith,1958-1983,Smith,Maggie,F,1934,199x,R:lead,Br,,,,,,
Mel Smith,1983-1990,,,M,[1],199x,R:puffy,,,,,,,
Paul Smith,,Smith,Paul,M,,,R:character,Am,,,,,,
Rainbeaux Smith,1974,Smith,Cheryl,F,[1],199x,RU:,Un,,,,,,
Rex Smith,,,,M,[1],199x,RU:,Un,,,,,,
Roger Smith,1956-1970,Smith,Roger,M,1932,199x,R:lead,Am,,,,,,
Innokenti Smoktunovsky,1960-1975,Smoktunovsky,Innokenti,M,1925,199x,RU:,Ru,,,,,,
Terri Susan Smith,,,,F,[1],199x,RU:,Un,,,,,,
William Smith,,,,M,[1],199x,RU:,Un,,,,,,
Sonja Smits,,,,F,[1],199x,RU:,Un,,,,,,
Tom Smothers,1974-1982,Smothers,Tom,M,1937,199x,R:light lead,Am,,,,,,
Wesley Snipes,1991-1993,Snipes,Wesley,M,19aa,199x,R:hip,Am,,,,,,
Carrie Snodgrass,1968-1983,Snodgrass,Carrie,F,1946,199x,R:lead,Am,,,,,,
Jimmy `The Greek' Snyder,,,,M,[1],199x,RU:,Un,,,,,,
Park Jong Sod,,,,M,[1],199x,RU:,Un,,,,,,
Abraham Sofaer,1931-1968,Sofaer,Abraham,M,1896,199x,RU:,Bu,,,,,,
Sojin,1927,Sojin,fn,M,,199x,R:villain,Ja,,,,,,
Vladimir Sokoloff,1927-1962,Sokoloff,Vladimir,M,1889,1962,R:character,Ru,,,,,,
P.J. Soles,,,,M,[1],199x,RU:,Un,,,,,,
Ewen Solon,1959-1961,Solon,Ewen,M,1923,199x,R:lead,NZ,,,,,,
Andrew Solt,,,,M,[1],199x,RU:,Un,,,,,,
Suzanne Somers,1973-1980,Somers,Suzanne,F,1946,199x,R:lead,Am,,,,,,
Julie Sommars,,,,F,[1],199x,RU:,Un,,,,,,
Elke Sommer,1960-1971,Schletz,Elke,F,1940,199x,R:lead,Ge,,,,,,
Josef Sommer,1978-1982,Sommer,Josef,M,1930,199x,R:character,Am,,,,,,
Gale Sondergaard,1936-1976,Sondergaard,Edith,F,1899,1985,R:tall, sinister servant,Am,,,,,
Paul Sonkkila,,,,F,[1],199x,RU:,Un,,,,,,
Jack Soo,1960,Suzuki,Goro,M,1916,1979,R:character,Ja,,,,,,
Alberto Sordi,1953-1978,Sordi,Alberto,M,1919,199x,R:lead,It,,,,,,
Jean Sorel,1962-1967,de Rochbrune,Jean,M,1934,199x,R:lead,Fr,,,,,,
Louise Sorel,1965-1971,Sorel,Louise,F,1944,199x,R:lead,Fr,,,,,,
Linda Sorenson,,,,F,[1],199x,RU:,Un,,,,,,
Paul Sorvino,1972-1981,Sorvino,Paul,M,1939,199x,R:chubby,Am,,,,,,
Ann Sothern,1934-1978,Lake,Harriette,F,1909,199x,R:hard-boiled, soft-centered golddigger,Am,,,,,
Talisa Soto,1989-1992,bn,gn,F,,199x,R:Lustrous,Ct,,,,,,
David Soul,1971-1983,Solberg,David,M,1943,199x,R:lead,Am,,,,,,
Catherine Spaak,1960-1975,Spaak,Catherine,F,1945,199x,R:lead,Be,,,,,,
Arthur Space,1942-1980,Space,Arthur,M,1908,1983,R:character,Am,,,,,,
Sissy Spacek,1971-1982,Spacek,Sissy,F,1950,199x,R:tomboyish,Am,,,,,,
Merrie Spaeth,,,,F,[1],199x,RU:,Un,,,,,,
Fay Spain,,,,F,[1],199x,RU:,Un,,,,,,
Vincent Spano,,,,M,[1],199x,RU:,Un,,,,,,
Ned Sparks,1927-1946,Sparkman,Edward,M,1883,1957,R:hard-boiled, cigar-chewing,Ca,,,,,
Camilla Sparv,1966-1969,Sparv,Camilla,F,1943,199x,R:lead,Sw,,,,,,
Hazel Spears,,,,F,[1],199x,RU:,Un,,,,,,
Bruce Spence,,,,M,[1],199x,RU:,Un,,,,,,
Bud Spencer,1967-1974,Pedersoli,Carlo,M,1929,199x,R:spaghetti westerns,It,,,,,,
George Spencer,,,,M,[1],199x,RU:,Un,,,,,,
Jeremy Spenser,1948-1966,Spenser,Jeremy,M,1937,199x,R:lead,Br,,,,,,
David Spielberg,1972-1976,Spielberg,David,M,,,R:character,Am,,,,,,
Joe Spinell,,,,M,[1],199x,RU:,Un,,,,,,
Victor Spinetti,1964-1976,Spinetti,Victor,M,1932,199x,R:comic,Br,,,,,,
The Loving Spoonful,,,,G,[1],199x,RU:,Un,,,,,,
G.D. Spradlin,,,,M,[1],199x,RU:,Un,,,,,,
Rick Springfield,,,,M,[1],199x,RU:,Un,,,,,,
Ronald Squire,1934-1958,Squire,Ronald,M,1886,1958,R:character,Br,,,,,,
Robert Stack,1939-1981,Modini,Robert,M,1919,199x,R:personable cold-eyed,Am,,,,,,
James Stacy,,,,M,[1],199x,RU:,Un,,,,,,
Frederick Stafford,-1969,Stafford,Frederick,M,1928,1979,R:he-man,Os,,,,,,
Richard Stahl,,,,M,[1],199x,RU:,Un,,,,,,
Philip Stainton,1947-1956,Stainton,Philip,M,1908,1961,R:surprised expression,Br,,,,,,
Sylvester Stallone,1970-1997,Stallone,Sylvester,M,1946,199x,R:solemn-looking,Am,,,,,,
James Staley,,,,M,[1],199x,RU:,Un,,,,,,
Terence Stamp,1962-1978,Stamp,Terence,M,1940,199x,R:juvenile lead,Br,,,,,,
Enid StampTaylor,1937-1946,Stamp-Taylor,Enid,F,1904,1946,R:character,Br,,,,,,
Lionel Stander,1934-1994,Stander,Lionel,M,1908,199x,R:gravel-voiced,Am,,,,,,
Guy Standing,1933-1937,Standing,Sir Guy,M,1873,1937,RU:,Br,,,,,,
John Standing,1962-1977,Leon,John,M,1934,199x,R:character,Br,,,,,,
Michael StAngel,1954,St. Angel,Michael,M,,199x,RU:,Or,,,,,,
Jiri Stanislav,,,,M,[1],199x,RU:,Un,,,,,,
Forrest Stanley,,,,M,[1],199x,RU:,Un,,,,,,
Kim Stanley,1958-1983,Reid,Patricia,F,1921,199x,RU:,Am,,,,,,
Lora Stanley,,,,F,[1],199x,RU:,Un,,,,,,
Frank Stanmore,,,,M,[1],199x,RU:,Un,,,,,,
Harry Dean Stanton,1962-1983,Stanton,Harry,M,1926,,R:character,Am,,,,,,
Barbara Stanwyck,1927-1983,Stevens,Ruby,F,1907,1990,R:durable, competentsultry,Am,,,,,
Jean Stapleton,1958-1971,Murray,Jean,F,1923,199x,R:pragmatic wife,Am,,,,,,
Maureen Stapleton,1959-1994,Stapleton,Maureen,F,1925,199x,R:character,Am,,,,,,
Graham Stark,1961-1966,Stark,Graham,M,1922,199x,R:comedy,Br,,,,,,
Koo Stark,,,,F,[1],199x,RU:,Un,,,,,,
Pauline Starke,1916-1926,Starke,Pauline,F,1901,1977,R:silent,Am,,,,,,
Kay Starr,,,,F,[1],199x,RU:,Un,,,,,,
Ringo Starr,,,,M,[1],199x,RU:,Un,,,,,,
Charles Starrett,1926-1952,Starrett,Charles,M,1904,199x,R:cowboy,Am,,,,,,
Valerie Starrett,,,,F,[1],199x,RU:,Un,,,,,,
Imaelda Staunton,,,,F,[1],199x,RU:,Un,,,,,,
Alison Steadman,,,,F,[1],199x,RU:,Un,,,,,,
Anthony Steel,1949-1974,Steel,Anthony,M,1920,199x,R:athletic,Br,,,,,,
Barbara Steele,1958-1965,Steele,Barbara,F,1938,199x,R:frightening,Br,,,,,,
Bob Steele,1920-1966,Bradbury,Robert,M,1907,199x,R:cowboy,Am,,,,,,
Tommy Steele,1955-1969,Hicks,Tommy,M,1936,199x,R:energetic pop singer,Br (Ir),,,,,,
Mary Steenburgen,1978-1989,Steenburgen,Mary,F,1952,199x,R:pleasant,Am,,,,,,
Simonetta Stefanelli,,,,F,[1],199x,RU:,Un,,,,,,
Rod Steiger,1951-1982,Steiger,Rod,M,1925,199x,R:burly,Am,,,,,,
David Steinberg,,,,M,[1],199x,RU:,Un,,,,,,
John Steiner,,,,M,[1],199x,RU:,Un,,,,,,
Albert Steinruck,,,,M,[1],199x,RU:,Un,,,,,,
Carolyn Steller,,,,F,[1],199x,RU:,Un,,,,,,
Anna Sten,1927-1962,Stenskaja Sudakevich,Annel,F,1908,1993,R:lead,Ru,,,,,,
Karel Stepanek,1943-1969,Stepanek,Karel,M,1899,1980,R:character,Cz,,,,,,
Susan Stephen,1951-1963,Stephen,Susan,F,1931,199x,R:lead,Br,,,,,,
Ann Stephens,1942-1958,Stephens,Ann,F,1931,199x,R:juvenile,Br,,,,,,
Harvey Stephens,1955,,,M,,199x,RU:,Am,,,,,,
Harvey Stephens,1976,,,M,1970,199x,R:weird kid,Am,,,,,,
Martin Stephens,1961-1966,Stephens,Martin,M,1949,199x,R:juvenile,Br,,,,,,
Pamela Stephens,,,,F,[1],199x,RU:,Un,,,,,,
Robert Stephens,1960-1973,Stephens,Robert,M,1931,199x,RU:,Br,,,,,,
Henry Stephenson,1917-1948,Garroway,H.S.,M,1871,1956,R:kindly old men,Br,,,,,,
James Stephenson,1938-1941,Stephenson,James,M,1888,1941,R:suave,Br,,,,,,
Pamela Stephenson,1981-1983,Stephenson,Pamela,F,1951,199x,R:lead,NZ,,,,,,
Ilse Steppat,1947-1969,Steppat,Ilse,F,1917,1969,R:character,Ge,,,,,,
Ford Sterling,1926-1935,Stitch,George F.,M,1883,1939,R:comic,Am,,,,,,
Jan Sterling,1948-1979,Adriance,Jan Sterling,F,1923,199x,R:lead,Am,,,,,,
Linda Sterling,,,,F,,1991+,R:tiger woman,Am,,,,,,
Robert Sterling,1939-1962,Hart,William John,M,1917,199x,R:lead,Am,,,,,,
Tisa Sterling,1964,,,F,,199x,R:raven-haired beach bunny,Am,,,,,,
Jimmy Sterman,,,,M,[1],199x,RU:,Un,,,,,,
Daniel Stern,,,,M,[1],199x,RU:,Un,,,,,,
Erik Stern,,,,M,[1],199x,RU:,Un,,,,,,
Tom Stern,,,,M,[1],199x,RU:,Un,,,,,,
Frances Sternhagen,,,,F,[1],199x,RU:,Un,,,,,,
Andrew Stevens,1976-1981,Stevens,Andrew,M,1955,199x,R:lead,Am,,,,,,
Casey Stevens,,,,M,[1],199x,RU:,Un,,,,,,
Connie Stevens,1957-1976,Ingolia,Concetta,F,1938,199x,R:lead,Am,,,,,,
Craig Stevens,1941-1976,Shekles,Gail,M,1918,199x,R:lead,Am,,,,,,
Inger Stevens,1957-1970,Stensland,Inger,F,1935,1970,R:pert,Sw,,,,,,
K.T. Stevens,1940-1958,Wood,Gloria,F,1919,199x,R:lead,Am,,,,,,
Leslie Stevens,,Stevens,Leslie,M,1924,199x,RU:,Am,,,,,,
Mark Stevens,1945-1966,Richards,Stephen,M,1916,199x,R:lead,Am,,,,,,
Morgan Stevens,,,,,[1],199x,RU:,Un,,,,,,
Onslow Stevens,1932-1963,Stevenson,Onslow Ford,M,1902,1977,R:character,Am,,,,,,
Rise Stevens,1941-1947,Stevens,Rise,F,1913,199x,R:opera singer,Am,,,,,,
Robert Stevens,,,,M,1925,199x,RU:,Un,,,,,,
Ronnie Stevens,1952-1968,Stevens,Ronnie,M,1925,199x,R:comic,Br,,,,,,
Stella Stevens,1958-1981,Eggleston,Estelle,F,1936,199x,R:lead,Am,,,,,,
Warren Stevens,1951-1968,Stevens,Warren,M,1919,199x,R:general purpose,Am,,,,,,
Housely Stevenson,1942-1952,Stevenson,Housely,M,1879,1953,R:gaunt, unshaven old man,Am,,,,,
MacLean Stevenson,,,,M,[1],199x,RU:,Un,,,,,,
Alana Stewart,,,,F,[1],199x,RU:,Un,,,,,,
Alexandra Stewart,1960-1974,Stewart,Alexandra,F,1939,199x,R:lead,Ca,,,,,,
Anita Stewart,1913-1928,Stewart,Anna May,F,1895,1961,R:silent lead,Am,,,,,,
Athole Stewart,1931-1940,Stewart,Athole,M,1879,1940,R:character,Br,,,,,,
Catherine Mary Stewart,,,,F,[1],199x,RU:,Un,,,,,,
Charlotte Stewart,,,,F,[1],199x,RU:,Un,,,,,,
Donald Stewart,,,,M,[1],199x,RU:,Un,,,,,,
Elaine Stewart,1951-1961,Steinberg,Elsy,F,1929,199x,R:lead,Am,,,,,,
James Stewart,1935-1983,Stewart,James Maitland,M,1908,1997,R:slow drawl, gangly walk,Am,,,,,
Paul Stewart,1941-1978,Stewart,Paul,M,1908,1986,R:sinister roles,Am,,,,,,
Patrick Stewart,1990-1997,Stewart,Patrick,,,199x,R:bald evil captain,Br,,,,,,
Sandy Stewart,,,,,[1],199x,RU:,Un,,,,,,
Sophie Stewart,1935-1956,Stewart,Sophie,F,1909,1977,RU:,Br,,,,,,
Renee StCyr,1933-1976,St Cyr,Renée,F,1907,199x,R:lead,Fr,,,,,,
Ivy StHelier,,,,F,[1],199x,RU:,Un,,,,,,
Pat Stich,,,,,[1],199x,RU:,Un,,,,,,
David Ogden Stiers,1970-1980,Stiers,David Ogden,M,,,R:tall, balding,Am,,,,,
Hugo Stiglitz,,,,M,[1],199x,RU:,Un,,,,,,
Ben Stiller,1995,Stiller,Ben,M,19aa,199x,R:sr,Am,,,,,,
Sting,1973,,,G,,199x,RU:,Un,,,,,,
Raymond StJacques,1964-1978,Johnson,James,M,1930,1990,R:black lead,Am,,,,,,
Al (`Fuzzy') StJohn,1913-1949,St John,Al,M,1893,1963,R:character,Am,,,,,,
Betta StJohn,1953-1961,Streidler,Betta,F,1930,199x,R:lead,Am,,,,,,
Christopher StJohn,1971,St John,Christopher,M,,,RU:,Am,,,,,,
Howard StJohn,1950-1969,St John,Howard,M,1905,1974,R:character,Am,,,,,,
Jill StJohn,1957-1972,Oppenheim,Jill,F,1940,199x,R:lead,Am,,,,,,
Nigel Stock,1938-1975,Stock,Nigel,M,1919,1986,R:character,Br,,,,,,
Walter Stocker,,,,M,[1],199x,RU:,Un,,,,,,
Betty Stockfield,1930-1957,Stockfield,Betty,F,1905,1906,RU:,Br,,,,,,
Dean Stockwell,1945-1982,Stockwell,Dean,M,1938,199x,R:handsome,Am,,,,,,
Guy Stockwell,1965-1976,Stockwell,Guy,M,1936,199x,R:lead,Am,,,,,,
John Stockwell,,,,M,[1],199x,RU:,Un,,,,,,
Austin Stoker,,,,M,[1],199x,RU:,Un,,,,,,
Shirley Stoler,,,,F,[1],199x,RU:,Un,,,,,,
Eric Stoltz,1984-1994,Stoltz,Eric,M,1962,199x,R:stud,,,,,,,
Christopher Stone,,,,M,[1],199x,RU:,Un,,,,,,
Danny Stone,,,,M,[1],199x,RU:,Un,,,,,,
Fred Stone,,,,M,[1],199x,RU:,Un,,,,,,
George E. Stone,1930-1956,Stein,George,M,1903,1967,R:oppressed little man,Po,,,,,,
Harold J. Stone,1956-1975,Stone,Harold,M,1911,199x,R:character,Am,,,,,,
Ivory Stone,,,,F,[1],199x,RU:,Un,,,,,,
Lewis Stone,1915-1953,Stone,Lewis,M,1879,1953,R:silent lead, character,Am,,,,,
Marianne Stone,1951-1967,Stone,Marianne,F,1920,199x,R:character,Br,,,,,,
Milburn Stone,1935-1957,Stone,Milburn,M,1904,1980,R:character,Am,,,,,,
Philip Stone,,,,M,[1],199x,RU:,Un,,,,,,
Sharon Stone,1981-1997,Stone,Sharon,F,[1],199x,R:provocative,Am,,,,,,
Paolo Stoppa,1949-1967,Stoppa,Paolo,M,1906,199x,R:character,It,,,,,,
Larry Storch,1963-1972,Storch,Larry,M,1923,199x,R:comic,Am,,,,,,
Gale Storm,1939-1959,Cottle,Josephine,F,1922,199x,R:All-American girl,Am,,,,,,
Ludwig Stossel,1939-1960,Stossel,Ludwig,M,1883,1973,R:character,Os,,,,,,
Rose Stradner,1938-1944,Stradner,Rose,F,1913,1958,RU:,Os,,,,,,
Beatrice Straight,1976-1983,Straight,Beatrice,F,1916,199x,R:character,Am,,,,,,
Glenn Strange,1937-1973,Strange,Glenn,M,1899,1973,R:cowboy,Am,,,,,,
Lee Strasberg,1974-1979,Strasberg,Lee,F,1901,1982,R:drama teacher,Am,,,,,,
Susan Strasberg,1955-1983,Strasberg,Susan,F,1938,199x,R:lead,Am,,,,,,
Marcia Strassman,,,,F,[1],199x,RU:,Un,,,,,,
Dorothy Stratten,1990-1982,Stratten,Dorothy,F,1960,1980,R:playmate,,,,,,,
Peter Strauss,1971-1983,Strauss,Peter,M,1942,199x,R:lead,Am,,,,,,
Robert Strauss,1952-1965,Strauss,Robert,M,1913,1975,R:comedy,Am,,,,,,
Meryl Streep,1977-1983,Streep,Mary Louise,F,1951,199x,R:lead,Am,,,,,,
Russel Streiner,,,,M,[1],199x,RU:,Un,,,,,,
Barbra Streisand,1968-1983,Streisand,Barbara Joan,F,1942,199x,R:odd looks,Am,,,,,,
Ray Stricklyn,1956-1965,Stricklyn,Ray,M,1930,199x,R:second lead,Am,,,,,,
John Stride,1963-1975,Stride,John,M,1936,199x,R:supporting,Br,,,,,,
Elaine Stritch,1955-1978,Stritch,Elaine,F,1926,199x,R:comedienne,Am,,,,,,
Woody Strode,1951-1983,Strode,Woodrow,M,1914,199x,R:tall black,Am,,,,,,
Don Stroud,1968-1979,Stroud,Don,M,1937,199x,R:lead,Am,,,,,,
Annette Stroyberg,1959,Stroyberg,Annette,F,,199x,R:sr,Ct,,,,,,
Sally Ann Struthers,1970-1976,Struthers,Sally,F,1947,199x,R:character,Am,,,,,,
Barbara Stuart,,,,F,[1],199x,RU:,Un,,,,,,
Binkie Stuart,1937-1939,Stuart,Binkie,F,1932,199x,R:child,Br,,,,,,
Gloria Stuart,1932-1946,Finch,Gloria Stuart,F,1909,1995+,R:lead,Am,,,,,,
John Stuart,1920-1978,Croall,John,M,1898,1979,R:lead, character,Br,,,,,
Richard Styles,,,,M,[1],199x,RU:,Un,,,,,,
Margaret Sullavan,1933-1950,Brooke,Margaret,F,1911,1960,R:whimsical,Am,,,,,,
Barry Sullivan,1943-1977,Barry,Patrick,M,1912,1994,R:rugged lead,Am,,,,,,
Ed Sullivan,,,,M,[1],199x,RU:,Un,,,,,,
Francis L. Sullivan,1933-1955,Sullivan,Francis L.,M,1903,1956,R:heavywieight advocate,Br,,,,,,
Michael Sullivan,,,,M,[1],199x,RU:,Un,,,,,,
Tom Sullivan,,,,M,[1],199x,RU:,Un,,,,,,
Frank Sully,1935-1956,Sully,Frank,M,1910,1975,R:farmer, dumb crook,Am,,,,,
Madame SulTeWan,1937,Sul-Te-Wan,*,F,,199x,R:black slave,Am,,,,,,
Donna Summer,,,,F,[1],199x,RU:,Un,,,,,,
Eleanor Summerfield,1947-1970,Summerfield,Eleanor,F,1921,199x,R:comedienne,Br,,,,,,
Slim Summerville,1927-1946,Summerville,George J.,M,1892,1946,R:lanky, mournful,Am,,,,,
Geoffrey Sumner,1949-1955,Sumner,Geoffrey,M,1908,199x,R:silly ass type,Br,,,,,,
Clinton Sundberg,1946-1967,Sundberg,Clinton,M,1919,199x,R:flustered clerk, head waiter,Am,,,,,
Todd Susman,,,,M,[1],199x,RU:,Un,,,,,,
Donald Sutherland,1963-1983,Sutherland,Donald,M,1935,199x,R:gaunt,Ca,,,,,,
Kiefer Sutherland,1990,Sutherland,Kiefer,M,1968,199x,RU:,Am,,,,,,
Dudley Sutton,1963-1971,Sutton,Dudley,M,1933,199x,R:character,Br,,,,,,
Frank Sutton,,,,M,[1],199x,RU:,Un,,,,,,
Grady Sutton,1932-1966,Sutton,Grady,M,1908,199x,R:vacuous country cousin,Am,,,,,,
John Sutton,1937-1959,Sutton,John,M,1908,1963,R:swashbuckling villain,Br,,,,,,
Janet Suzman,1970-1981,Suzman,Janet,F,1939,199x,RU:,SA(frican),,,,,,
Bo Svenson,1975-1981,Svenson,Bo,M,1941,199x,R:action lead,Am,,,,,,
Dominique Swain,1998,Swain,Dominique,F,,1982,R:sexy teen,Un,,,,,,
Mack Swain,1914-1932,Swain,Mack,M,1876,1935,R:silent,Am,,,,,,
Robert Swann,,,,M,[1],199x,RU:,Un,,,,,,
Forrest Swanson,,,,M,[1],199x,RU:,Un,,,,,,
Gary Swanson,,,,M,[1],199x,RU:,Un,,,,,,
Gloria Swanson,1915-1974,Swenson,Josephine,F,1897,1983,R:silent lead,Am,,,,,,
Maureen Swanson,1953-1963,Swanson,Maureen,F,1932,199x,R:lead,Br,,,,,,
Gladys Swarthout,1935-1939,Swarthout,Gladys,F,1904,1969,R:opera singer,Am,,,,,,
