H,title,year,director,producer,studio,process code,category code,awards
JDe27,Who's the Man?,1993,D:J.Demme,PN:,SU:,col,Musc,col
JDe28,Philadelphia,1993,D:J.Demme,"PN:J.Demme, Edwaed Saxon",St:Tristar,col,Dram,col
JDe32,The Birds,1995,D:J.Demme,PN:,SU:,col,Susp,col
JDe35,Beloved,1998,D:J.Demme,PU:,SU:,prc,Dram,-
JDe36,Storefront Hitchcock,1998,D:T.Demme,PU:,SU:,prc,"Musc, BioP",
JHr10,That's Entertainment,1974,D:Haley,PN:Daniel Melmick,St:MGM,"col,bnw",Musc,H**
JHr20,That's Dancin',1985,D:Haley,"PN:Haley, David Niven jr.",S:MGM-UA,Mcol,Musc,H
JHr30,That's Entertainment III,1994,D:Haley,"PN:Haley, Daniel Melnick:",St:MGM,"col,bnw",Musc,
JLe10,Tm:Kotch,1974,D:Lemmon,PN:Richard C,SU:,prc,CTxx,H
JMS1,Hester Street,1974,D:J.M.Silver,P:R.D.Silver,St:Midwest Films,bnw,Dram,"Z*, H**"
JMS2,Between the Lines,1977,D:J.M.Silver,P:R.D.Silver,St:Midwest Films,TVCcolor,Dram,H*
JMS7,Crossing Delancy,1988,D:J.M.Silver,PN:,SU:,col,Ctxx,aw
JMS9,Loverboy,1989,J.M.Silver,"PN:Gary Foster, Willie Hunt",St:TriStar,col,Comd,
JMS12,Stepkids,1991,D:J.M.Silver,PN:,SU:,col,Ctxx,aw
JSz3,Jaws 2,1980,D:Szwarc,PN:Stephen Deutsch,St:Univeral,Tcol,Susp,H
JSz4,Somewhere in Time,1980,D:Szwarc,PN:Stephen Deutsch,St:Universal,Tcol,Romt,H*
JSz10,Tm:Enigma,1983,D:Szwarc,PN:Peter Shaw,St:Embassy,col,Advt,H
JSz12,Tm:Supergirl,1984,D:Szwarc,"PN:Pierre Spengler, Timothy Burrill",St:Catharus,col,Fant,H*
JuJ1,Emmanuelle,1974,D:Jaeckin,PN:Yves Rousset-Rouard,St:Trinacra,Ecol,Porn,H*
JuJ2,"Emmanuelle, The Joys of a Woman",1975,D:Jaekin,PN:,SU:,prc,Ctxx,aw
JuJ3,Black Emanuelle,1976,D:Jaeckin,PN:,SU:,col,Porn,
JuJ4,Emanuelle's Amazon Adventure,1977,D:Jaeckin,PN:,SU:,col,Porn,
JuJ5,Emanuelle in Bangkok,1978,D:Jaeckin,PN:,SU:,col,Porn,
JuJ10,Lady Chatterley's Lover,1981,D:Jaeckin,PN:,St:Cannon,col,Porn,H
JuJ15,Emmanuelle IV,1984,D:Jaeckin,PN:,SU:,col,Porn,
JuJ17,The Perils of Gwendoline in the Land of the Yik Yak,1985,D:Jaeckin,PN:,SU:,prc,Porn,aw
JuJ19,Emmanuelle V,1987,D:Jaeckin,PN:,SU:,col,Porn,
KBu10,Brooklyn Bridge,1981,D:Burns,PN:,St:PBS,prc,Docu,AAN
KBu20,The Statue of Liberty,1981,D:Burns,PN:,St:PBS,prc,Docu,aw
KBu22,"The Shakers: Hands to Work, Hearts to God",1981,D:Burns,PN:,St:PBS,TV,Docu,aw
KBu24,Huey Long,1981,D:Burns,PN:,St:PBS,TV,Docu,aw
KBu40,The Civil War,1990,D:Burns,PN:,St:PBS,TV,Docu,aw
KBu45,Empire of the Air,1992,D:Burns,PN:,St:PBS,TV,Docu,aw
KBu50,Frank Lloyd Wright,1997,D:Burns,"P:Burns, Edward Miller",St:PBS,DuArt,Docu,
LoG40,When We Were Kings,1997,D:Gast,PU:,SU:,col,Docu,
Ph4,The Red Badge of Courage,1977,D:Phillips,PN:,SU:,TV,Dram,aw
LPh10,Tm:The Spell,1977,D:Phillips,PN:,SU:,prc,CTxx,aw
LPh15,Tm:Louis Armstrong Chicago Style,1980,D:Phillips,PN:,SU:,prc,CTxx,aw
MBn10,La grande bourgoise,1974,D:Bolognini,PU:,SU:,prc,"Hist, Dram",
MiD10,Les Violons du Bal,1974,D:Drach,PN:,SU:,prc,BioP,aw
MiD20,Le pull-over rouge,1974,D:Drach,PN:,SU:,prc,BioP,aw
MLd10,Die Drosse Flatter,1978,D:Ludcke,PN:,St:Regina Ziegler Film,prc,Dram,aw
MLi10,Flesh Gordon,1974,D:Light,"PN:Bill Osco, Howard Ziem",St:Graffiti,col,Porn,
NSi10,The Star Spangled Girl,1974,D:N.Simon,PN:,SU:,prc,Ctxx,aw
PGD10,The Widow Coudere,1974,D:GranierDeferre,PN:,SU:,prc,Ctxx,aw
PGD11,Der Ehekaefig,1974,D:GranierDeferre,PU:,SU:,prc,Susp,
RBl10,"Lemora, the Lady Dracula",1974,D:Blackburn,PN:Robert Fern,St:Media Cinema,col,Horr,aw
SBs10,Tm:Phase IV,1974,D:Bass,PN:Paul B. Radin,St:Paramount,Tcol,ScFi,H
StC10,Big Bad Mama,1974,D:S.Carver,P:Corman,St:Santa Cruz,Mcol,Advt,H
StC12,Drum,1967,D:S.Carver,PN:Ralph Serpe,S:deLaurentiis,Mcol,Dram,H
StC20,Eye for an Eye,1981,D:S.Carver,PN:,St:Wescom,CFcol,Advt,H
StC30,Lone Wolf McQuade,1983,D:S.Carver,PN:,St:Orion,DeLuxe,West,H
ToA10,"Eadward Muybridge, Zoopraxograher",1974,D:Andersen,PN:,SU:,bnw,BioP,aw
ToH1,The Texas Chain Saw Massacre,1974,D:T.Hooper,PN:Hooper,St:Vortex,CFIcol,Horr,H
ToH3,Eaten Alive,1976,D:T.Hooper,PN:Mohaammed Rustam,St:Mars,col,Horr,H
ToH10,Eaten Alive,1977,D:T.Hooper,PN:,SU:,prc,CTxx,aw
ToH14,The Funhouse,1981,D:T.Hooper,PN:,SU:,col,Horr,
ToH20,Poltergeist,1982,D:T.Hooper,P:Spielberg,St:MGM,Mcol,Fant,H**
ToH26,Lifeforce,1985,D:T.Hooper,PN:,SU:,col,Horr,
ToH30,Invaders from Mars,1986,D:T.Hooper,"P:Golan, Yoram Globus",St:Cannon,TVCcol,ScFi,H
ToH40,The Mangler,1995,D:T.Hooper,PN:,SU:,prc,Horr,
VSt10,Tm:The Treasure of Jamaica Reef,1974,D:V.Stone,PN:,SU:,prc,CTxx,aw
xGr10,Tm:The Count of Monte Cristo,1974,D:Greene,PN:,SL:GB,prc,CTxx,aw
YRa10,About a Woman Who ...,1974,D:Rainer,PN:,SU:,prc,Dram,aw
Z7410,The Phantom of Hollywood,1974,D:UnYear74,PU:,SU:,prc,"Comd,Horr",aw
ClW10,Tm:It's My Turn,1975,D:Weill,PN:,SU:,prc,CTxx,aw
ClW20,Girlfriends,1978,D:Weill,P:Weill,SU:,prc,Romt,aw
DGi10,Tm:Black Bird,1975,D:Giler,PN:,SU:,prc,CTxx,aw
DRi10,Farewell My Lovely,1975,D:Richards,PN:Elliott Kastner,St:Avco Embassy,Tcol,Susp,H**
DRi14,Tm:March or Die,1977,D:Richards,"PN:Dick Richards, Jerry Bruckheimer",St:ITC,Tcol,Dram,H
DRi20,"Tm:Man, Woman and Child",1983,D:Richards,PN:,St:Gaylord,DeLuxe,Dram,H
EFo10,"Chesty Anderson, U.S. Navy",1975,D:E.Forsyth,PN:,SU:,prc,CTxx,H-
HeB1,King of the Night,1975,D:Babenco,PN:,SU:,,Dram,
HeB3,Lucio Flavio: Passenger of Agony,1978,D:Babenco,PN:,SU:,,Dram,
HeB5,Pixote,1980,D:Babenco,PN:,SU:,,Docu,
HeB10,Kiss of the Spider Woman,1985,D:Babenco,PN:,SL:Brazil,,Romt,
HeB12,Ironweed,1986,D:Babenco,PN:,St:Columbia,,Romt,col
HeB15,At Play in the Field of the Lord,1990,D:Babenco,PN:Saul Zaentz,St:Universal,col,Docu,
JCT1,"Cousin, Cousine",1975,D:Tacchella,PN:Bertrand Javal,St:Gaumont,Ecol,,H**
JiS10,The Rocky Horror Picture Show,1975,D:Sharman,PN:Michael White,St:Fox SL:GB,col,Horr,aw
JKp8,Tm:White Line Fever,1975,D:J.Kaplan,PN:,SU:,prc,CTxx,aw
JKp10,Mr. Billion,1976,D:J.Kaplan,PN:,SU:,prc,Ctxx,aw
JKp15,Over the Edge,1980,D:J.Kaplan,PN:,SU:,col,Actn,CG**
JKp18,Heart Like a Wheel,1982,D:J.Kaplan,PN:Charles Rovin,St:Aurora,CFcol,Actn,H*
JKp20,Tm:Death Ride to Osaka,1983,D:J.Kaplan,PN:,SU:,prc,CTxx,aw
JKp30,The Accused,1989,D:J.Kaplan,PN:,SU:,prc,Dram,aw
JKp32,Unlawful Entry,1992,D:J.Kaplan,PN:,SU:,prc,Susp,aw
JKp33,Love Field,1992,D:J.Kaplan,"PN:Sarah Pillsbury, Midge Sanford",St:Orion,DeLuxe,Ctxx,
JKp35,Bad Girls,1994,D:J.Kaplan,PN:,S:Obst,col,West,
LQJ10,Tm:A Boy and His Dog,1975,D:L.Q.Jones,PN:,SU:,prc,CTxx,aw
MxA10,Love Butcher,1975,D:Angel,"PN:Gary Wiliams, Mickey Belski",St:Mirror,col,Horr,aw
NSg10,Tm:The Happy Hooker,1975,D:Sgarro,PN:Fred Caruso,"St:Double, Cannon",Mlab,porn,H
PaC10,The Flesh of the Orchid,1975,D:Chereau,PN:,SU:,prc,Ctxx,aw
PaC20,Queen Margot,1994,D:Chereau,PN:,SU:,prc,"Hist, Epic",aw
PaC24,Ceux qui m'aiment prendront le train,1998,D:Chereau,PU:,SU:,prc,Ctxx,
RaK3,The Boy in the Plastic Bubble,1976,D:Kleiser,PU:,SU:,prc,Dram,
RaK5,Grease,1978,D:Kleiser,"PN:Robert Stigwood, Allan Carr",St:Paramount,Mcol,Musc,H**
RaK7,The Blue Lagoon,1981,D:Kleiser,P:Kleiser,St:Columbia,Cof,"Romt,Porm",H
RaK8,Tm:Summer Lovers,1982,D:Kleiser,PN:,SU:,col,Romt,CG*
RaK9,Tm:Grandview U.S.A.,1984,D:Kleiser,PN:,SU:,col,"Romt, Actn",CG**
RaK10,Big Top Pee-Wee,1987,D:Kleiser,P:,SU:,prc,Ctxx,aw
RaK12,Getting it Right,1989,D:Kleiser,PN:Jonathan D. Krane,SU:,prc,Ctxx,aw
RaK15,"Honey, I Blew Up the Kid",1992,D:Kleiser,"PN:Edward Feldman, Dawn Steele",SU:,col,Comd,aw
RKi10,The Midnight Man,1975,D:Kibbee,P:Kibbee,St:Universal,col,Ctxx,aw
TgG1,Monty Python and the Holy Grail,1975,D:Gilliam,PN:Mark Forrester,"St:EMI, Columbia",Tcol,Fant,"F95,H**"
TiG2,Jabberwocky,1977,D:Gilliam,PN:,SU:,prc,Fant,aw
TiG3,Life of Brian,1979,D:Gilliam,PU:,SU:,prc,Ctxx,
TGi4,Time Bandits,1981,D:Gilliam,P:Gilliam,St:HandMade Films,Tcol,Fant,H*
TGi5,Brazil,1985,D:Gilliam,PN:Arnon Milchan,St:Universal,col,Fant,"H*, T90,"
TGi6,The Adventures of Baron Munchhausen,1988,D:Gilliam,PN:,St:Columbia,col,Fant,
TGi7,The Fisher King,1991,D:Gilliam,PN:,S:TriStar,col,Romt,
TgG8,Twelve Monkeys,1977,D:Gilliam,PU:,SU:,prc,ScFi,
TGi9,Fear and Loathing in Las Vegas,1998,D:Gilliam,PN:Patrick Cassavetti,S:UniversaL,prc,Dram,
TNu3,Hedda,1975,D:Nunn,PN:Robert Enders,St:Brut,Tcol,Dram,H*
TNu10,Lady Jane,1986,D:Nunn,PN:Peter Snell,St:Paramount,Tcol,BioP,H
WHl1,Tm:Hard Times,1975,D:W.Hill,PN:,SU:,prc,CTxx,aw
WHl2,The Driver,1978,D:W.Hill,PN:Lawrence Gordon,St:Fox,DeLuxe,,
WHl4,The Warriors,1979,D:W.Hill,PN:Laurence Gordon,St:Paramount,Mlab,Actn,H CG***
WHl6,Tm:The Long Riders,1980,D:W.Hill,PN:,SU:,prc,CTxx,aw
WHl8,Southern Comfort,1981,D:W.Hill,PN:David Giles,St:Phoenix,col,Dram,aw
WHl10,48 Hrs.,1982,D:W.Hill,PN:Lawrence Gordon,St:Paramount,Mlab,Actn,H
WHl15,Tm:Streets of Fire,1984,D:W.Hill,PN:,St:Universal,col,Actn,aw
WHl20,Another 48 Hrs.,1982,D:W.Hill,PN:,St:Paramount,Mlab,Actn,
WHl30,Trespass,1992,D:W.Hill,PN:Neil Canton,St:Universal,col,Actn,
WHl32,Geronimo: An American Legend,1993,D:W.Hill,PN:,SU:,col,"West, BioP",
WWi10,Tm:Tom Horn,1975,D:Wiard,PN:Fred Weintraub,St:Warners,Tcol,"West,BioP",H
xDB1,Moses,1975,D:deBosio,PN:,SU:,prc,CTxx,aw
ARu4,Welcome to L.A.,1976,D:Rudolph,P:Altman,SU:,,Comd,
ARu10,Choose Me,1984,D:Rudolph,PN:,SU:,,Romt,
ARu20,`L'Amour poursuite',1989,D:Rudolph,PN:,SU:,,"Susp,Romt",
ARu28,Afterglow,1997,D:Rudolph,P:Robert Altaman,S:Sony,col,Ront,aw
BaK1,"Harlan County, USA",1976,D:Kopple,PN:,SU:,,Docu,
BaK20,American Dream,1992,D:Kopple,PN:,SU:,,Docu,
BeG10,Tm:Mahogany,1976,D:Gordy,"PN:R.Cohen, Jack Ballard",St:Paramount,col,Comd,H
BBa1,Dona Flor and Her Two Husbands,1976,D:B.Barreto,PN:L.C. Barreto,St:Carnaval,Ecol,"Comd,Romt,Porn",H
BBa5,One Tough Cop,1998,D:B.Barreto,PU:,SU:,prc,CnR,
BRB3,Tm:Don's Party,1976,D:Beresford,PN:,St:Double,Ecol,Dram,H*
BrB5,Breaker Morant,1979,D:Beresford,PN:Matthew Carroll,St:South African Film Corp.,Ecol,"Dram,Actn",H*
BRB7,Tm:The Getting of Wisdom,1980,D:Beresford,PN:Phillip Adams,"St:Southern Cross, AFC",Ecol,Romt,H**
BrB10,Tm:Tender Mercies,1983,D:Beresford,"PN:Horton Foote, Robert Duvall",St:EMI,Mlab,Dram,"AAN, AAN dir, H*"
BrB15,Tm:Barry McKenzie On His Own,1985,D:Beresford,PN:,SU:,prc,Ctxx,aw
BrB20,Driving Miss Daisy,1989,D:Beresford,"PN:D.Brown, R.Zanuck, L.F.Zanuck",SU:,col,Romt,AA
BrB21,Mister Johnson,1991,D:Beresford,PN:,SU:,col,Romt,
BrB22,Black Robe,1991,D:Beresford,PN:,SU:,col,Dram,
BrB25,Silent Fall,1994,D:Beresford,PN:,SU:,col,Ctxx,aw
BrB27,Last Dance,1996,D:Beresford,PU:,SU:,col,Dram,aw
BuR10,Tm:Gator,1976,D:B.Reynolds,PN:,SU:,prc,CTxx,aw
BuR14,Tm:The End,1978,D:B.Reynolds,PN:,SU:,prc,CTxx,aw
BuR20,Tm:Sharky's Machine,1981,D:B.Reynolds,PN:,SU:,prc,CTxx,aw
BuR25,Cop and a Half,1992,D:B.Reynolds,PN:,SU:,prc,CnR,aw
CGo10,The Wonderful Crook,1976,D:Goretta,PN:,SU:,prc,Comd,aw
CGr10,Eat My Dust!,1976,D:C.Griffith,PN:Jon Davison,St:NWP,prc,Actn,CG***
CkB10,Tm:Gumball Rally,1976,D:Bail,PN:DFasvid Barber,St:Columbia,Tcol,Actn,H
ChL1,A Place in Time,1976,D:Lane,PN:,SU:,bws,Dram,
ChL2,Sidewalk Stories,1989,D:Lane,PN:,"St:, SD:Island Pictures",bnw,"Comd,Dram",Cannes Prix de Public
ClM10,The Best Way to Walk,1976,D:C.Miller,PN:,SU:,prc,Ctxx,aw
ClM12,Tell Him I Love Him,1977,D:C.Miller,PN:,SU:,prc,Ctxx,aw
ClM30,The Little Thief,1989,D:C.Miller,PN:,SU:,,Romt,
ClM40,The Accompanist,1993,D:C.Miller,PN:,SU:,,Dram,
DnD10,L'Ombre des Chateaux,1976,D:Duval,PU:,SU:,prc,Dram,
FDL10,Tm:The Hit Men,1976,D:DiLeo,PN:,SU:,prc,Ctxx,aw
FDL15,Tm:The Kidnap Syndicate,1978,D:Dileo,PN:,SU:,prc,Ctxx,aw
FDL20,Tm:Rulers of the City,1980,D:DiLeo,PN:,SU:,prc,CTxx,aw
GeB3,Pumping Iron,1976,D:G.Butler,PN:,SU:,,Docu,aw
GeB10,In the Blood,1989,D:G.Butler,PN:,SU:,,Docu,
GeO10,The Bitch,1979,D:OHara,PN:Brent Walker,SL:GB,col,Advt,H
HGr5,Thieves,1976,D:Gardner,PN:,SU:,prc,CTxx,
IFy10,Tm:Rolling Thunder,1976,D:J.Flynn,PN:,SU:,col,Actn,
IFy20,Tm:Defiance,1980,D:J.Flynn,PN:,St:AIP,Mlab,Actn,H
IFy30,Lock Up,1985,D:J.Flynn,PN:,SU:,col,Ctxx,
IFy40,Brainscan,1994,D:J.Flynn,PN:,SU:,col,Actn,
ILn10,Tm:The Great Smokey Roadblock,1976,D:J.Leone,PN:Allan F. Bodon,St:Marvista,col,Advt,H
JFg10,The Enforcer,1976,D:Fargo,PN:Robert Daley,St:Warners,DeLuxe,,H
JFg20,Tm:Forced Vengance,1982,D:Fargo,PN:,SU:,,Actn,CG**
JHj10,Tm:Creature from Black Lake,1976,D:Houck,PN:,SU:,prc,CTxx,aw
JoD5,Hollywood Boulevard,1976,D:Dante,"P:Jon Davison, Corman",St:NewWorld,prc,"Porn,Comd",CG**
JoD9,Piranha,1978,D:Dante,PN:Jon Davidson,St:NewWorld,prc,Horr,
JoD11,The Howling,1980,D:Dante,PN:Ron Bottin,St:AVCO Embassy,CFcol,Horr,
JoD15,Explorers,1985,D:Dante,PU:,SU:,col,"Comd, ScFi",
JoD20,Innerspace,1987,D:Dante,P:Michael Finnel,SU:,,Fant,
JoD26,The 'Burbs,1989,D:Dante,PN:,St:Universal,col,Comd,aw
JoD30,"Gremlins 2, The New Batch",1990,D:Dante,"P:Spielberg, Miska Finnel,",St:Warners,Tcol,Comd,
JoD34,Matinee,1993,D:Dante,PN:Michael Finnell,St:Universal,col,Comd,aw
JoD40,Small Soldiers,1998,D:Dante,PU:,SU:,prc,"Cart, Advt",
JsF10,Tm:The Big Bus,1976,D:Frawley,"PN:Fred Freeman, Lawrence J. Cohen",St:Paramount,Mlab,Comd,H
JsF20,"Spies, Lies, and Naked Thighs",1986,D:Frawley,"PN:Robert Halmas jr., Pat Henson",SU:,col,Comd,
LIC10,Sailor Who Fell from Grace With the Sea,1976,D:Carlino,PN:Martin Poll,St:AVCO,Tcol,Porn,H
LIC20,Tm:The Great Santini,1980,D:Carlino,PN:Bing Crosby,"St:Warners, Orion",Tcol,Dram,H*
LIC30,Tm:Class,1983,D:Carlino,P:Ransohoff,St:Orion,Tcol,Dram,H
LIC40,Hick Chick,1993,D:Carlino,P:Quimby,St:MGM,col,Ctxx,
KSh10,Tm:The River Niger,1976,D:Shah,PN:,SU:,col,Dram,CG**
MAk10,"Mohammad, Messenger of God",1976,D:Akkad,PN:,SU:,,BioP,
MLH5,Nasty Habits,1976,D:LindsayHogg,PN:Robert Enders,"St:Brut,Bowden",Tcol,Comd,H*
MLH10,Dr. Fisher of Geneva,1980,D:LindsayHogg,PN:,St:Consolidated,col,Noir,aw
MLH20,The Object of Beauty,1991,D:LindsayHogg,PN:,SU:,col,Romt,aw
MLn10,Tm:The Loneliest Runner,1976,D:M.Landon,PN:M.Landon,SU:,TV,CTxx,aw
MLu10,Tm:Street People,1976,D:Lucidi,PN:,SU:,col,Actn,CG**
MMi10,Jackson County Jail,1976,D:M.Miller,P:Corman,"St:U.A., NWP",Mcol,Actn,H
MMi20,Tm:Silent Rage,1982,D:M.Miller,PN:,SU:,prc,CTxx,aw
MMi21,National Lampoon's Class Reunion,1982,D:M.Miller,PN:Marty Simmons,St:ABC,Mcol,Comd,H
MSz8,Tm:Car Wash,1976,D:Schultz,PN:,SU:,prc,CTxx,aw
MSz10,Tm:Which Way is Up?,1977,D:Schultz,PN:,SU:,col,Comd,CG*
MSz11,Tm:Greased Lightning,1977,D:Schultz,PN:Hannah Weinstein,St:Third World,Mlab,BioP,H
MSz15,Tm:Carbon Copy,1981,D:Schultz,PN:,SU:,prc,CTxx,aw
MSz25,Livin' Large!,1991,D:Schultz,PN:,SU:,prc,Comd,aw
MxB10,Tm:Ode to Billy Joe,1976,D:Baer,PN:,SU:,,Dram,CG**
NiG10,Tm:The Little Girl Who Lives Down the Lane,1976,D:Gessner,PN:,SU:,prc,CTxx,aw
NiG20,Tm:It Rained All Night the Day I Left,1983,D:Gessner,PN:,SU:,prc,CTxx,aw
PSy10,Tm:To the Devil...A Daughter,1976,D:Sykes,PN:,SU:,prc,CTxx,aw
RbM1,Murder by Death,1976,D:R.Moore,P:Ray Stark,St:MGM,Mcol,"Susp, Comd",H*
RbM10,Chapter Two,1979,D:R.Moore,PN:Margaret Booth,St:Columbia,Mcol,Dram,H*
RHf10,Futureworld,1976,D:Heffron,"PN:James T. Aubrey jr., Paul Lazurus III",St:AIP,Mcol,"Fant, Susp",H*
RHf20,"Tm:I, The Jury",1982,D:Heffron,PN:Robert Solo,St:American Cinema,col,Actn,H
RHo1,Grand Theft Auto,1976,D:R.Howard,P:Corman,St:NWP,col,Actn,
RHo5,Night Shift,1982,D:R.Howard,PN:Brian Glazer,St:Warners,Tcol,Comd,H
RHo10,Splash,1984,D:R.Howard,PN:Brian Grazer,St:Touchstone-Disney,Tcol,Romt,"F17,H*"
RHo12,Cocoon,1985,D:R.Howard,"PN:R.Zanuck, D.Brown, Lili Zanuck",St:Fox,DeLuxe,"Romt,ScFi",H**
RHo14,Gung Ho,1986,D:R.Howard,PN:,SU:,col,Comd,
RHo15,Willow,1987,D:R.Howard,P:G.Lucas,SU:,col,Fant,
RHo17,"Cocoon, the Return",1988,D:R.Howard,PN:,SU:,col,Romt,
RHo20,Parenthood,1989,D:R.Howard,PN:Brian Grazer,St:Universal,col,Comd,
RHo22,Backdraft,1991,D:R.Howard,PN:,St:Universal,col,Actn,
RHo24,Far and Away,1992,D:R.Howard,PN:,SU:,col,Fant,
RHo27,The Paper,1994,D:R.Howard,PN:,SU:,col,Fant,
RHo29,Apollo 13,1995,D:R.Howard,P:Brian Grazer,S:Universal,col,"BioP, Hist, Advt",AAN
RHo31,Ransom,1996,D:R.Howard,PU:,S: Touchstone,col,Susp,aw
RHo34,EDtv,1999,D:R.Howard,"PN:Brian Grazer, Howard",St:Universal,prc,Comd,
RMr10,Penetration,1976,D:Montero,P:Mishkin,SU:,prc,porn,
SOS10,Sparkle,1976,D:OSteen,PN:,SU:,prc,"Musc,BioP",-H
SRf10,Adventures of the Wilderness Family,1976,D:Raffill,PN:,SU:,prc,Advt,aw
SRf20,Tm:The Ice Pirates,1984,D:Raffill,PN:,SU:,prc,CTxx,aw
SRf21,Tm:The Philadelphia Experiment,1984,D:Rafill,"PN:Joel B. Michaels, Douglas Curtis",St:New World,CFcol,ScFi,H*
TKo10,Tm:Fun with Dick and Jane,1976,D:Kotcheff,PN:,SU:,prc,CTxx,aw
TKo15,Tm:North Dallas Forty,1979,D:Kotcheff,PN:Frank Yablans,St:Paramount,Mcol,Dram,H
TKo19,Tm:Split Image,1982,D:Kotcheff,PN:,SU:,col,Dram,CG**
TKo20,First Blood,1982,D:Kotcheff,PN:Buzz Feitshans,St:Carolco,Tcol,Actn,H
TKo22,Tm:Uncommon Valor,1983,D:Kotcheff,"PN:John Milius, Buzz Feitshans",St:Paramount,Mlab,Actn,H
WGi5,Tm:Grizzly,1976,D:Girdler,"PN:David Sheldon, Hasrvey Flaxman",St:Film Ventures international,Mlab AO,Horr,H
WGi10,Tm:Day of the Animals,1977,D:Girdler,PN:Edward L. Montero,St:Film Ventures Int.,DeLuxe,Horr,H
WGi15,Tm:The Manitou,1978,D:Girdler,PN:Melvin Simon,SU:,CFcol,Horr,H
WiW1,Kings of the Road,1976,D:Wenders,PN:,SL:FRG,,,[4]
WiW2,Alice in the Cities,1977,D:Wenders,PN:,SL:US,,,[4]
WiW4,The American Friend,1977,D:Wenders,PN:,SL:US,,,[4]
WiW9,Hammett,1982,D:Wenders,P:Coppola,"St:Orion, Zoetrope",Tcol,Susp,H*
WiW12,"Paris, Texas",1984,D:Wenders,"PN:Don Guest, Anatole Dauman",St:road Movies SL:US,col,Susp,"H**, BFA dir, [10]"
WiW20,Wings of Desire,1988,D:Wenders,PN:,St:Miramax,,Fant,T90
WiW25,Until the End of the World,1992,D:Wenders,PN:,SU:,,Fant,
WiW27,The End of Violence,1997,D:Wenders,PU:,SU:,col,CnR,aw
WiW29,City of Angels,1998,DN:Brad Silberling,"PN:Dawn Steel, Arnon Milchan",S:Warners,prc,Dram,
Z3410,Amelia Earhart,1976,D:Unknown34,PN:,SU:,prc,BioP,aw
Z3411,The Day After Trinity,1981,D:Unknown34,PN:,SU:,prc,Docu,aw
Z3412,Enola Gay,1980,D:Unknown34,PN:,SU:,prc,Docu,aw
Z3414,The Manhattan Project,1986,D:Unknown34,PN:,SU:,prc,Docu,aw
AGr10,The Last Dinosaur,1977,D:Grasshoff,"PN:Arthur Rankin jr., Jules Bass",SL:Japan,TV,ScFi,aw
AsL10,Tm:Golden Rendezvous,1977,D:A.Lazarus,PN:Milton Okun,St:Film Trust,col,Actn,H
ASo1,"Alice, Sweet Alice",1977,D:Sole,PN:,SU:,prc,Ctxx,aw
CBt3,Killer of Sheep,1977,D:Burnett,PU:,SU:,col,Dram,aw
CBt10,To Sleep with Anger,1990,D:Burnett,"PN:, Danny Glover",SU:,prc,Comd,aw
CBt15,Nightjohn,1997,D:Burnett,PU:,SU:,col,CTxx,aw
CSr4,"Elisa, vida mia",1977,D:Saura,PN:,SU:,prc,,aw
CSr5,Cria!,1977,D:Saura,PN:,SU:,prc,,aw
CSr7,Horas Dulces,1981,D:Saura,PN:,SU:,Dram,,aw
CSr8,Bodas de Sangre,1981,D:Saura,PN:,SU:,prc,Musc,aw
CSr10,Carmen,1983,D:Saura,PN:Emiliano Piedra,"St:Television Espanola, Orion",Ecol,Musc,H**
CSr15,Al Amor Brujo,1986,D:Saura,PN:,SU:,col,Musc,aw
CSr20,The Obscure Night,1989,D:Saura,PN:,SU:,,Dram,aw
CSr25,"Ay, Carmela!",1991,D:Saura,PN:,SU:,prc,,aw
CSr30,Tango,1998,D:Saura,PU:,SU:,prc,Ctxx,
EMt10,Cauchemares,1977,D:Matalon,"PN:Matalon, Nicole Mathieu Boisvert","St:21st Century, SL:Canada",Ecol,Horr,aw
FrS10,The Chicken Chronicles,1977,D:F.Simon,,St:Avco,CFcol,"Comd,Dram",H
HNe10,Tm:Smokey and the Bandit,1977,D:H.Needham,PN:Robert R. Levy,St:Universal,Tcol,Actn,H*
HNe12,Tm:Hooper,1978,D:H.Needham,PN:,SU:,prc,CTxx,aw
HNe15,Tm:Smokey and the Bandit II,1980,D:H.Needham,PN:Mort Engeberg,St:Universal,Tcol,Sctn,H
HNe17,The Cannonball Run,1981,D:H.Needham,PN:,SU:,Tcol,Actn,aw
HNe20,Tm:Stroker Ace,1983,D:H.Needham,PN:,SU:,col,Comd,CG*
HNe25,Tm:Cannonball Run II,1984,D:H.Needham,PN:,St:Warners,Tcol,Actn,H
HoG10,Goliathon,1977,D:Gaugh,PN:Rumme Shaw,"St:Shwa Bros., World Northal, SL:HK",col,Advt,aw
JBr10,Tm:You Light Up My Life,1977,D:Joe Brooks,PN:,SU:,prc,Romt,aw
JlS10,The Cookies,1977,D:Seria,PN:,SU:,prc,Ctxx,aw
JNi1,"Drive, He Said",1977,D:J.Nicholson,PN:,St:Columbia,col,Dram,aw
JNi10,Goin' South,1978,D:J.Nicholson,"PN:Henry Gittes, Harold Schneider",St:Paramount,Mcol,"Comd,West",H
JNi20,The Two Jakes,1990,D:J.Nicholson,"PN:Tom Erven, Harold Schneider",St:Paramount,col,Actn,aw
JNi24,Wolf,1994,D:J.Nicholson,PN:,St:Columbia,col,Hor,aw
JPR10,Le Sauvage,1977,D:Rappeneau,PN:,SU:,prc,CTxx,aw
